Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
CANYON,1,Interior,11,East Kootenay,115,Creston,BC
CANYON HOT SPRINGS,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
CARLIN,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
CARMI,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
CARROLLS LANDING,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
CARRS LANDING,1,Interior,13,Okanagan,137,Central Okanagan,BC
CARSON,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
CASCADE,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
CASINO,1,Interior,12,Kootenay Boundary,125,Trail,BC
CASTLEDALE,1,Interior,11,East Kootenay,116,Golden,BC
CASTLEGAR,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
CAWSTON,1,Interior,13,Okanagan,133,Keremeos,BC
CELISTA,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHAIN LAKE,1,Interior,13,Okanagan,134,Princeton,BC
CHASE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHASM,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
CHAUMOX,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
CHERRY CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHERRY CREEK (INTERIOR),1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHERRYVILLE,1,Interior,13,Okanagan,136,Vernon,BC
CHEZACUT,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHILANKO FORKS,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHILCOTIN FOREST,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHILCOTIN LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHIMNEY LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHIMNEY VALLEY,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CHINOOK COVE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHOPAKA,1,Interior,13,Okanagan,133,Keremeos,BC
CHRISTIAN VALLEY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
CHRISTINA LAKE,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
CHU CHUA,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHUTE LAKE,1,Interior,13,Okanagan,132,Penticton,BC
CIRDAR,1,Interior,11,East Kootenay,115,Creston,BC
CLAPPERTON,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
CLEARWATER,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
CLINTON,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
COALMONT,1,Interior,13,Okanagan,134,Princeton,BC
CODY,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
COKATO,1,Interior,11,East Kootenay,111,Fernie,BC
COLDSTREAM,1,Interior,13,Okanagan,136,Vernon,BC
COLDWATER,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
COLUMBIA GARDENS,1,Interior,12,Kootenay Boundary,125,Trail,BC
COMMODORE HEIGHTS,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
COOPER CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
COPPER CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
COPPER MOUNTAIN,1,Interior,13,Okanagan,134,Princeton,BC
CORBIN,1,Interior,11,East Kootenay,111,Fernie,BC
CORRA LINN,1,Interior,12,Kootenay Boundary,122,Nelson,BC
CRAIGELLACHIE,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
CRANBROOK,1,Interior,11,East Kootenay,112,Cranbrook,BC
CRAWFORD BAY,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
CREIGHTON VALLEY,1,Interior,13,Okanagan,136,Vernon,BC
CRESCENT BAY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
CRESCENT VALLEY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
CRESTON,1,Interior,11,East Kootenay,115,Creston,BC
CRESTOVA,1,Interior,12,Kootenay Boundary,122,Nelson,BC
CRISS CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CURZON,1,Interior,11,East Kootenay,115,Creston,BC
DALLAS (BC),1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DARFIELD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DEADMAN RESERVATION,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DEADMAN'S CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DEADWOOD,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
DEEP CREEK,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
DEER PARK,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
DEER PARK (BC),1,Interior,12,Kootenay Boundary,123,Castlegar,BC
DEKA LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
DEKKA LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
DOG CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
DOMINIC LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DONALD,1,Interior,11,East Kootenay,116,Golden,BC
DONALD STATION,1,Interior,11,East Kootenay,116,Golden,BC
DOT,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
DOT LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DOUGLAS LAKE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
DRY GULCH,1,Interior,11,East Kootenay,114,Windermere,BC
DUCK RANGE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
DUGAN LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
EAGLE BAY,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
EAGLE BLUFF,1,Interior,13,Okanagan,131,Southern Okanagan,BC
EAGLE CREEK,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
EAST ARROW PARK,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
EAST BLACKPOOL,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
EASTGATE,1,Interior,13,Okanagan,134,Princeton,BC
EDGEWATER,1,Interior,11,East Kootenay,114,Windermere,BC
